ti,ab,py
  of telehealth  for the  of sleep problems in children and adolescents," with sleep onset and maintenance are common among many children and adolescents with developmental disabilities. a lack of experienced practitioners, financial cost, and practical issues associated with providing parent coaching in the family home during evenings pose a number of barriers to successful sleep . telehealth  represent a potential approach for facilitation of the delivery of  for sleep problems in children and adolescents that may alleviate some of the challenges of delivering services equitably and in a timely manner. in the present , we   for, , and appraised the quality of ten  that have used telehealth  for the  of sleep problems in children and adolescents. the majority of  used web platforms to deliver content as part of a multicomponent . for children,  were parent mediated; , adolescents engaged directly in the  process, which typically included cognitive behavioral therapy for insomnia. each of the   positive overall   though only five of the  met criteria that reflected strong  rigor, thus limiting the strength of the . this  identifies current telehealth practices and areas for future . (  record (c) 2020 , all rights reserved)",2020
a   of electronic assistive technology within supporting living environments for people with dementia,"health and social care provision needs to change in order to meet the needs of an increase in the number of people living with dementia. environmental design, technology and assistive devices have the potential to complement care, help address some of the challenges presented by this growing need and impact on the lived experience of this vulnerable population. this   was undertaken to identify the  on the use of electronic assistive technology within longterm residential care settings. a total of 3229   from the inception of each of the  up until may 2016 were retrieved from  in four major . sixtyone were identified to be included in the . the inclusion criteria were: original peer  journals; an electronic assistive technology ; with residents or tenants living with dementia or their family or paid caregivers; in supported living environments or residential care. the  extracted from the included  focused on the , technology,  and the role of people living with dementia within the . overall, an extensive variety of technical  were found, with a broad range of  heterogeneity to explore their . additionally, widespanning  to support the potential of technology solutions and the challenges presented by such  were found. (  record (c) 2019 , all rights reserved)",2019
"user engagement in mental health apps: a  of measurement, , and validity","objective: despite the potential benefits of mobile mental health apps, realworld  indicate engagement issues because of low uptake and sustained use. this   how  have measured and  on user engagement indicators (ueis) for mental health apps. : a   of multiple  was performed in july 2018 for  of mental health apps for depression, bipolar disorder, schizophrenia, and anxiety that  on ueis, namely usability, user satisfaction, acceptability, and feasibility. the subjective and objective criteria used to assess ueis, among other , were extracted from each . : of 925 , 40  were eligible. every   positive  for the usability, satisfaction, acceptability, or feasibility of the app. of the 40 , 36 (90%) employed 371 indistinct subjective criteria that were assessed with surveys, , or both, and 23  used custom subjective scales, rather than preexisting standardized assessment tools. a total of 25  (63%) used objective criteria—with 71 indistinct measures. no two  used the same combination of subjective or objective criteria to assess ueis of the app. : the high heterogeneity and use of custom criteria to assess mental health apps in terms of usability, user satisfaction, acceptability, or feasibility present a challenge for understanding realworld low uptake of these apps. every   claimed that ueis for the app were rated highly, which suggests a need for the field to focus on engagement by creating  standards and more carefully considering claims. (  record (c) 2020 , all rights reserved)",2019
internetdelivered acceptance and commitment therapy for anxiety :  ,": anxiety  are debilitating and prevalent throughout the world. acceptance and commitment therapy (act) is an , acceptance behavioral therapy for anxiety. , there are  barriers (eg, financial, geographical, and attitudinal), which prevent people from accessing it. to overcome these barriers, internetdelivered act (iact)  have been developed in recent years. these  use websites to deliver act information and skill training exercises on the web, either as pure selfhelp or with therapist guidance. objective: this   aimed to  the therapeutic impact of iact on all anxiety . : the em, medline, proquest central, , scopus, and web of science  were  up to september 2018. the titles and  of remaining records after deduplication were  by 2  with a total of 36 fulltext  being retained for closer inspection next to eligibility criteria. empirical  of all designs, population types, and comparator  were included if they appraised the impact of iact  on any standardized measure of anxiety. included  were appraised on  quality and had their  extracted into a standardized coding sheet. findings were then tabulated, and a narrative synthesis was performed because of the heterogeneity found between . : a total of 20  met inclusion criteria. there were 11    () and 9 un pilot .  across all  were adults. the anxiety  treated were as follows: generalized anxiety disorder (gad), social anxiety disorder (sad), illness anxiety disorder (iad), and general anxiety symptoms, with or without comorbid physical and mental health problems. a total of 18   significant anxiety reduction after iact . this was observed in  that delivered iact with (n = 13) or without (n = 5) therapist guidance. the average attrition rate across all included  during the active iact  phase was 19.19%. in the 13  that assessed  satisfaction,  on average rated their iact experience with above average to high  satisfaction. : these findings indicate that iact can be an efficacious and acceptable  for adults with gad and general anxiety symptoms. more   are needed to corroborate these early iact findings using empirical  in active   (eg, internetdelivered cognitive behavioral therapy). this would potentially validate the promising  found for sad and iad as well as address the full spectrum of anxiety disorders. (  record (c) 2019 , all rights reserved)",2019
  of lessons learned from delivering teletherapy to veterans with posttraumatic stress disorder,": despite increases in the number of exservice personnel seeking  for posttraumatic stress disorder (ptsd), there remain a number of barriers to helpseeking which prevents many veterans from accessing psychological therapies. teletherapy provides one potential  of increasing the number of veterans accessing support. this  aimed to   the  in order to  what lessons have been learned so far from providing traumafocused teletherapies to veterans with ptsd. : a    was conducted from which 41  were .  were included if they involved the use of traumafocused therapies carried out using teletherapy technologies. only  using teletherapy  via video or telephone with populations of exmilitary personnel with ptsd were included. : in the majority of cases teletherapy was found to be as  in reducing ptsd symptoms as inperson . similarly, there were few differences in most process  such as dropout rates, with teletherapy helping to increase uptake in some cases. veterans using teletherapy  high levels of acceptability and satisfaction. some challenges were  in terms of therapeutic alliance, with some  suggesting that veterans felt less comfortable in using teletherapy. several  suggested it was harder for clinicians to read nonverbal communication in teletherapy, but this did not affect their ability to build rapport. technological issues were encountered, but these were not found to impede therapy processes or . discussion: teletherapy provides a viable alternative to inperson therapies and has the potential to increase access to therapy for veterans. teletherapy should continue to be evaluated and scrutinised in order to establish the most   of delivery. (  record (c) 2019 , all rights reserved)",2018
"cognitive telerehabilitation in mild cognitive impairment, alzheimer’s disease and frontotemporal dementia: a  ",": given the limited  of pharmacological , nonpharmacological  in neurodegenerative diseases have gained increasing attention in recent years and telerehabilitation has been proposed as a cognitive rehabilitation strategy. the  of this   is to  the evidence for the efficacy of cognitive telerehabilitation  compared with facetoface rehabilitation in  with mild cognitive impairment, alzheimer’s disease and frontotemporal dementia. : in accordance with the preferred  items for   and  () guidelines, a   of the medline  was conducted. out of 14  assessed for eligibility, five  were identified, three in  with mild cognitive impairment or alzheimer’s disease, two in  with primary progressive aphasia. : the physiotherapy evidence  scale was used to assess the  quality of four out of five  included in this  , with only one  receiving a highquality rating.   evidenced positive  of telerehabilitation , comparable with those  for facetoface rehabilitation. discussion: the available evidence for the  of cognitive telerehabilitation is limited, and the quality of the evidence needs to be improved. the   provides preliminary evidence suggesting that cognitive telerehabilitation for neurodegenerative disease may have comparable  as conventional inperson cognitive rehabilitation. (  record (c) 2019 , all rights reserved)",2019
internet  aimed at supporting family caregivers of people with dementia:  ,": caring for someone with dementia is one of the most challenging caring roles. the need for support for family caregivers has been recognized for some time but is often still lacking. with an aging population, demand on health and social care services is growing, and the population is increasingly looking to the internet for information and support. objective: in this , we aimed to (1) identify the key components of existing internet  designed to support family caregivers of people with dementia, (2) develop an understanding of which components are most valued by caregivers, and (3) consider the evidence of  of internet  designed to support family caregivers of people with dementia. : we conducted a   of online  in april 2018. we  reference  and tracked citations. all  designs were included. we adopted a narrative synthesis approach with thematic  and tabulation as tools. : we identified 2325 , of which we included 40. the  varied in the number and types of components, duration and dose, and  used to measure . the  focused on (1) contact with health or social care providers, (2) peer interaction, (3) provision of information, (4) decision support, and (5) psychological support. the overall quality of the  was low, making interpretation and generalizability of the  findings difficult. , most  suggested that  may be beneficial to family caregiver wellbeing, including positive impacts on depression, anxiety, and burden. particular benefit came from psychological support provided online, where several small    suggested improvements in caregiver mental health. provision of information online was most beneficial when tailored specifically for the individual and used as part of a multicomponent . peer support provided in online  was appreciated by most  and showed positive  on stress. finally, online contact with a professional was appreciated by caregivers, who valued easy access to personalized practical advice and emotional support, leading to a reduction in burden and strain. : although mixed, the  indicate a positive response for the use of internet  by caregivers. more highquality  are required to identify the  of internet  aimed at supporting family caregivers, with particular focus on meeting the needs of caregivers during the different stages of dementia. (  record (c) 2019 , all rights reserved)",2018
working alliance and   in videoconferencing psychotherapy: a   and noninferiority ‐,"videoconferencing psychotherapy (vcp)—the remote delivery of psychotherapy via secure video link—is an innovative way of delivering psychotherapy, which has the potential to overcome many of the regularly cited barriers to accessing psychological . , some debate exists as to whether an adequate working alliance can be formed between therapist and client, when therapy is delivered through such a medium. the presented  is a    and two ‐ aimed at answering the questions: is working alliance actually poorer in vcp? and is  equivalence possible between vcp and face‐to‐face delivery? twelve  were identified which met inclusion/exclusion criteria, all of which demonstrated good working alliance and  for vcp. ‐ showed that working alliance in vcp was inferior to face‐to‐face delivery (standardized mean difference [] = −0.30; 95% confidence  [ci] [−0.67, 0.07], p = 0.11; with the lower bound of the ci extending beyond the noninferiority margin [−0.50]), but that target symptom reduction was noninferior ( = −0.03; 95% ci [−0.45, 0.40], p = 0.90; ci within the noninferiority margin [0.50]). these  are discussed and directions for future  recommended. (  record (c) 2020 , all rights reserved)",2018
the efficacy and acceptability of thirdwave behavioral and cognitive ehealth : a   and  of   ,"ehealth is an innovative  of delivering therapeutic content with the potential to improve access to thirdwave behaviural and cognitive therapies. this   and  aimed to determine the efficacy and acceptability of thirdwave ehealth  in improving mental health . a comprehensive  of electronic bibliographic  including , , web of science, and central was conducted to identify    of thirdwave  in which ehealth was the main component. twentyone  were included in the .  revealed that thirdwave ehealth significantly outperformed inactive   in improving anxiety, depression, and qualityoflife  and active   in alleviating anxiety and depression with small to medium  sizes. no statistically significant differences were found relative to comparison . findings from a narrative synthesis of    and  of  attrition rates provided preliminary support for the acceptability of thirdwave ehealth. thirdwave ehealth  are efficacious in improving mental health  including anxiety, depression, and quality of life, but not more so than comparison . preliminary evidence from indices of   and attrition rates supports the acceptability of these . (  record (c) 2019 , all rights reserved)",2018
consumer smartphone apps marketed for child and adolescent anxiety: a   and content ,"anxiety disorders are collectively the most prevalent mental health problems affecting youth. to increase the reach of mental health care, recent years have seen increasing enthusiasm surrounding mobile platforms for expanding  delivery options. apps developed in academia and supported in clinical  are slow to reach the consumer marketplace. meanwhile, proliferation of industrydeveloped apps on consumer marketplaces has been high. the present   content within mobile products prominently marketed toward consumers for anxiety in youth.  inventory of the  play store and apple store using keyword  for child and adolescent anxiety yielded 121 apps, which were evaluated on the basis of their descriptive characteristics, mobile functionalities, and adherence to evidence  principles. findings revealed that evidence  content within the sample is scant and few comprehensive anxiety selfmanagement apps were identified. advanced features that leverage the broader functionalities of smartphone c (e.g., sensors, ecological momentary assessments) were rarely present. findings underscore the need to increase the prominence and accessibility of quality child anxiety  products for consumers. strategies for improving marketing of supported apps to better penetrate consumer markets are discussed. (  record (c) 2019 , all rights reserved)",2018
the  of telepsychiatric modalities on reduction of readmissions in psychiatric settings: a  ,": telepsychiatric modalities are used widely in the  of many mental illnesses. it has also been proposed that telepsychiatric modalities could be a way to reduce readmissions. the  of the  was to conduct a   of the  on the  of telepsychiatric modalities on readmissions in psychiatric settings. : we conducted a    in medline, cinahl, em, ,  and joanna briggs  in october 2015. inclusion criteria were (a)  with a psychiatric diagnosis, (b) telepsychiatric  and (c) an  related to readmission. : the   identified 218 potential , of which eight were eligible for the .  were of varying quality and there was a tendency towards lowquality  (five ) which found positive  regarding readmission, whereas the more  sound  (three ) found no  of telepsychiatric modalities on readmission rates. discussion: previous  have proven the  of telepsychiatric modalities in the  of various mental illnesses. , in the present   we were unable to find an  of telepsychiatric modalities on the rate of readmission. some  found a reduced rate of readmissions, but the poor  quality make the findings questionable. at the present time there is no evidence to support the use of telepsychiatry due to heterogeneous , heterogeneous   and lack of highquality . (  record (c) 2018 , all rights reserved)",2018
online and mobile technologies for selfmanagement in bipolar disorder: a  ,"objective: internet (ehealth) and smartphone (mhealth) approaches to selfmanagement for bipolar disorder are increasingly common. evidence selfmanagement strategies are available for bipolar disorder and provide a useful framework for  existing ehealth/mhealth programs to determine whether these strategies are supported by current technologies. this  assesses which selfmanagement strategies are most supported by technology. :  on 3 previous , 7 categories of selfmanagement strategies related to bipolar disorder were identified, followed by a    to identify existing ehealth and mhealth programs for this disorder.  were conducted by using , cinahl, , em, and the   of   for relevant peer   january 2005 to may 2015. ehealth and mhealth programs were  and  to identify which of the 7 selfmanagement strategy categories were supported by ehealth or mhealth programs. : from 1,654 publications, 15  were identified for inclusion. from these, 9 ehealth programs and 2 mhealth programs were identified. the most commonly supported selfmanagement strategy categories were 'ongoing monitoring,' 'maintaining hope,' 'education,' and 'planning for and taking action'; the least commonly supported categories were 'relaxation' and 'maintaining a healthy lifestyle.' ehealth programs appear to provide more comprehensive coverage of selfmanagement strategies compared with mhealth programs.  and implications for practice: both ehealth and mhealth programs present a wide range of selfmanagement strategies for bipolar disorder, although individuals seeking comprehensive  might be best served by ehealth programs, while those seeking more condensed and direct  might prefer mhealth programs. (  record (c) 2019 , all rights reserved)",2017
neuropsychological  administration by videoconference: a   and ,"the  of the current   and  was to assess the  of videoconference administration on adult neurocognitive . we investigated whether the scores acquired during a videoconference administration were different from those acquired during onsite administration. relevant counterbalanced crossover  were identified according to preferred  items for   and  () guidelines. twelve  met criteria for . included samples consisted of healthy adults as well as those with psychiatric or neurocognitive disorders, with mean ages ranging from 34 to 88 years. heterogenous  precluded the interpretation of a   for videoconference administration.  including particpants with a mean age of 65–75, as well as  that utilized a high speed network connection, indicated consistent performance across videoconference and onsite ,   with older  and slower connections were more variable. sub  indicated that videoconference scores for untimed tasks and those allowing for repetition fell 1/10th of a standard deviation below onsite scores.  specific  indicated that verballymediated tasks including digit span, verbal fluency, and  learning were not affected by videoconference administration. scores for the boston naming  fell 1/10th of a standard deviation below onsite scores. heterogenous  precluded meaningful interpretation of tasks with a motor component. the administration of verballymediated tasks by qualified professionals using existing norms was supported, and the use of visuallydependent tasks may also be considered. variability in previous  indicates a need for further investigation of motordependent tasks. we recommend the development of clinical best practices for conducting neuropsychological assessments via videoconference, and advocate for reimbursement structures that allow consumers to benefit from the increased access, convenience, and costsavings that remote assessment provides. (  record (c) 2019 , all rights reserved)",2017
an overview of factors associated with adherence and dropout to ecological momentary assessments in depression,"the use of technology ecological momentary assessments (emas) allows to repeatedly assess  during daily life, in natura settings and in precise moments of the day. to date, emas have been broadly adopted for the investigation of major depressive disorder (mdd). nevertheless, adherence still represents a clinical challenge, as depressed  may be less prone to regularly complete daily . through a  narrative , we qualitatively investigated factors affecting adherence and dropout of mdd  to ema protocols. the mean adherence rate across  was generally encouraging (mean: 80.66%, sd 11.71%), and was higher in  collecting self by means of smartphones, prompting  less than 8 times per day and using a prefixed sampling . dropouts were mainly related to technical problems or underthreshold number of collected answers, often occurring in  collecting  by means of personal digital assistants (pdas). the implications of these  are discussed. (  record (c) 2019 , all rights reserved)",2018
ehealth  for family carers of people with long term illness: a promising approach?,"family carers of people who have long term illness often experience physical and mental health morbidities, and burden. while there is good evidence to suggest that carers benefit from psychosocial , these have primarily been delivered via facetoface individual or . ehealth  offer a novel, accessible and selfpaced approach to care delivery. whether these are  for carers' wellbeing has been little explored. this   the first comprehensive   in this area. a total of 78 , describing 62 discrete , were identified.  commonly aimed to promote carers' knowledge, selfefficacy, caregiving appraisal, and reduce global health morbidities.  were offered to carers of people with a wide range of long term illness; dementia has been the most  area, as  in 40% of . clinical and  heterogeneity in  precluded , and so  were  narratively. the most popular approach has comprised psychoeducational  delivered via an enriched online environment with supplementary modes of communication, such as network support with professionals and peers. overall, carers appreciate the flexibility and selfpaced nature of ehealth , with high rates of satisfaction and acceptability. more  using robust designs are needed to extend the evidence . (  record (c) 2019 , all rights reserved)",2018
smartphone monitoring of objective and subjective  in affective disorders: where are we and where are we going?  ,": electronic mental health  for mood disorders have increased rapidly over the past decade, most recently in the form of various  and apps that are delivered via smartphones. objective: we aim to provide an overview of  on smartphone  that combine subjective ratings with objectively measured  for longitudinal monitoring of  with affective disorders. specifically, we aim to  current knowledge on: (1) the feasibility of, and adherence to, such ; (2) the association of monitored  with mood status; and (3) the  of monitoring on clinical . : we   , web of science, , and the  central register of   for relevant   in the last ten years (20072017) by applying boolean  operators with an iterative combination of  terms, which was conducted in february 2017. additional  were identified via pearling,  correspondence, selected reference , and  protocols. : a total of 3463 unique records were identified. twentynine  met the inclusion criteria and were included in the . the majority of  represented feasibility  (n = 27); two    from one    (). in total, six different selfmonitoring  for affective disorders that used subjective mood ratings and objective measurements were included. these objective parameters included physiological  (heart rate variability), behavioral  (phone usage, physical activity, voice features), and context/environmental information (light exposure and location). the included  contained  regarding feasibility of such  in affective disorders, showed reasonable accuracy in predicting mood status and mood fluctuations  on the objectively monitored , and  observations about the impact of monitoring on clinical state and adherence of  to the  usage. : the included observational  and  substantiate the value of smartphone approaches for gathering longterm objective  (aside from selfratings to monitor clinical symptoms) to predict changes in clinical states, and to investigate causal inferences about state changes in  with affective disorders. although promising, a much larger evidence is necessary to fully assess the potential and the risks of these approaches.  limitations of the available  (eg, small sample sizes, variations in the number of observations or monitoring duration, lack of , and heterogeneity of ) restrict the interpretability of the . , a number of  protocols stated ambitions to expand and intensify  in this emerging and promising field. (  record (c) 2019 , all rights reserved)",2017
